,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco,el_price,consumption,timestamp,datetime,year,month,day,weekday,hour,date,is_holiday,season,google_trends_electricity
0,2021-09-01 00:00:00+03:00,11.2,10.3,94.0,0.0,0.0,320.0,7.2,16.7,1012.6,2.0,0.0901599999999999,0.577,2021-09-01 00:00:00,2021-09-01 00:00:00,2021,9,1,2,0,2021-09-01,False,Autumn,5
1,2021-09-01 01:00:00+03:00,10.7,9.6,93.0,0.0,0.0,320.0,7.2,13.0,1012.6,2.0,0.09251,0.594,2021-09-01 01:00:00,2021-09-01 01:00:00,2021,9,1,2,1,2021-09-01,False,Autumn,5
2,2021-09-01 02:00:00+03:00,9.9,9.0,94.0,0.0,0.0,320.0,7.2,13.0,1012.2,2.0,0.0889,0.685,2021-09-01 02:00:00,2021-09-01 02:00:00,2021,9,1,2,2,2021-09-01,False,Autumn,5
3,2021-09-01 03:00:00+03:00,10.0,8.4,90.0,0.0,0.0,330.0,7.2,13.0,1011.9,1.0,0.08735,1.016,2021-09-01 03:00:00,2021-09-01 03:00:00,2021,9,1,2,3,2021-09-01,False,Autumn,5
4,2021-09-01 04:00:00+03:00,9.0,8.1,94.0,0.0,0.0,300.0,3.6,13.0,1011.4,2.0,0.08688,0.677,2021-09-01 04:00:00,2021-09-01 04:00:00,2021,9,1,2,4,2021-09-01,False,Autumn,5
5,2021-09-01 05:00:00+03:00,9.3,8.8,97.0,0.0,0.0,300.0,7.2,13.0,1011.3,2.0,0.08843,0.673,2021-09-01 05:00:00,2021-09-01 05:00:00,2021,9,1,2,5,2021-09-01,False,Autumn,5
6,2021-09-01 06:00:00+03:00,10.4,9.3,93.0,0.0,0.0,310.0,7.2,14.8,1011.3,2.0,0.09358,0.565,2021-09-01 06:00:00,2021-09-01 06:00:00,2021,9,1,2,6,2021-09-01,False,Autumn,5
7,2021-09-01 07:00:00+03:00,10.7,9.6,93.0,0.0,0.0,310.0,7.2,16.7,1011.3,4.0,0.1187,0.385,2021-09-01 07:00:00,2021-09-01 07:00:00,2021,9,1,2,7,2021-09-01,False,Autumn,5
8,2021-09-01 08:00:00+03:00,11.6,9.8,89.0,0.0,0.0,320.0,7.2,18.5,1011.2,2.0,0.13544,1.435,2021-09-01 08:00:00,2021-09-01 08:00:00,2021,9,1,2,8,2021-09-01,False,Autumn,5
9,2021-09-01 09:00:00+03:00,12.8,9.8,82.0,0.0,0.0,320.0,10.8,20.4,1011.0,1.0,0.14072,1.494,2021-09-01 09:00:00,2021-09-01 09:00:00,2021,9,1,2,9,2021-09-01,False,Autumn,5
