,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco,el_price,y_original,date,year,month,dow,dayname,weekend,hour,season,h_type,is_holiday,y_imp,y_imp_r2,y_imp_r3,y_imp_r7,y_imp_r14,y_imp_log,y_imp_r2_log,y_imp_r3_log,y_imp_r7_log,y_imp_r14_log
0,2021-08-31 21:00:00+00:00,11.2,10.3,94.0,0.0,0.0,320.0,7.2,16.7,1012.6,2.0,0.0901599999999999,0.577,2021-08-31,2021,8,1,Tuesday,no,21,Summer,not_hol,not_hol,0.577,0.577,0.577,0.577,0.577,-0.5499130124740376,-0.5499130124740376,-0.5499130124740376,-0.5499130124740376,-0.5499130124740376
1,2021-08-31 22:00:00+00:00,10.7,9.6,93.0,0.0,0.0,320.0,7.2,13.0,1012.6,2.0,0.09251,0.594,2021-08-31,2021,8,1,Tuesday,no,22,Summer,not_hol,not_hol,0.594,0.5854999999999999,0.594,0.594,0.594,-0.5208759596194922,-0.5352890959443651,-0.5208759596194922,-0.5208759596194922,-0.5208759596194922
2,2021-08-31 23:00:00+00:00,9.9,9.0,94.0,0.0,0.0,320.0,7.2,13.0,1012.2,2.0,0.0889,0.685,2021-08-31,2021,8,1,Tuesday,no,23,Summer,not_hol,not_hol,0.685,0.6395,0.6186666666666666,0.6186666666666666,0.6186666666666666,-0.3783364407199117,-0.44706865796323975,-0.480188654304101,-0.480188654304101,-0.480188654304101
3,2021-09-01 00:00:00+00:00,10.0,8.4,90.0,0.0,0.0,330.0,7.2,13.0,1011.9,1.0,0.08735,1.016,2021-09-01,2021,9,2,Wednesday,no,0,Autumn,not_hol,not_hol,1.016,0.8505,0.765,0.765,0.765,0.015873349156290163,-0.16193086714622057,-0.2678794451556012,-0.2678794451556012,-0.2678794451556012
4,2021-09-01 01:00:00+00:00,9.0,8.1,94.0,0.0,0.0,300.0,3.6,13.0,1011.4,2.0,0.08688,0.677,2021-09-01,2021,9,2,Wednesday,no,1,Autumn,not_hol,not_hol,0.677,0.8465,0.7926666666666667,0.7926666666666667,0.7926666666666667,-0.390084006069862,-0.16664507740894702,-0.2323524903995195,-0.2323524903995195,-0.2323524903995195
5,2021-09-01 02:00:00+00:00,9.3,8.8,97.0,0.0,0.0,300.0,7.2,13.0,1011.3,2.0,0.08843,0.673,2021-09-01,2021,9,2,Wednesday,no,2,Autumn,not_hol,not_hol,0.673,0.675,0.7886666666666667,0.7886666666666667,0.7886666666666667,-0.3960099493374092,-0.3930425881096072,-0.23741152311191457,-0.23741152311191457,-0.23741152311191457
6,2021-09-01 03:00:00+00:00,10.4,9.3,93.0,0.0,0.0,310.0,7.2,14.8,1011.3,2.0,0.09358,0.565,2021-09-01,2021,9,2,Wednesday,no,3,Autumn,not_hol,not_hol,0.565,0.619,0.6383333333333333,0.6383333333333333,0.6383333333333333,-0.5709295478356962,-0.47965000629754095,-0.44889466603550043,-0.44889466603550043,-0.44889466603550043
7,2021-09-01 04:00:00+00:00,10.7,9.6,93.0,0.0,0.0,310.0,7.2,16.7,1011.3,4.0,0.1187,0.385,2021-09-01,2021,9,2,Wednesday,no,4,Autumn,not_hol,not_hol,0.385,0.475,0.541,0.541,0.541,-0.9545119446943529,-0.7444404749474959,-0.6143360001356555,-0.6143360001356555,-0.6143360001356555
8,2021-09-01 05:00:00+00:00,11.6,9.8,89.0,0.0,0.0,320.0,7.2,18.5,1011.2,2.0,0.13544,1.435,2021-09-01,2021,9,2,Wednesday,no,5,Autumn,not_hol,not_hol,1.435,0.91,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.3611648492115845,-0.09431067947124129,-0.22941316432780523,-0.22941316432780523,-0.22941316432780523
9,2021-09-01 06:00:00+00:00,12.8,9.8,82.0,0.0,0.0,320.0,10.8,20.4,1011.0,1.0,0.14072,1.494,2021-09-01,2021,9,2,Wednesday,no,6,Autumn,not_hol,not_hol,1.494,1.4645000000000001,1.1046666666666667,1.1046666666666667,1.1046666666666667,0.4014570867106256,0.3815138872856512,0.0995436303362615,0.0995436303362615,0.0995436303362615
